"UserAccount Name","herkky"
"Title","Trip 2026/05/11 12:39 P.M. Krabi"
"Comment",""
"Vehicle Nickname","KLE500"
"Distance",
"Time",189
"R.Score",

"elapsed_msec","gps_latitude","gps_longitude","instant_fuel_consumption","water_temperature","boost_temperature","engine_RPM","wheel_speed","acceleration","throttle_position","boost_pressure","gear_position","brake_pressure_fr_caliper","lean_angle","rideology_score"
130.979004,8.075784,98.909576,0.000000,103.000000,0.000000,1396,0,0.000000,0,0,0,0.000000,0,0
131.979996,8.075784,98.909576,0.000000,103.000000,0.000000,1403,0,0.000000,0,0,0,0.000000,0,0
132.979996,8.075784,98.909576,0.000000,103.000000,0.000000,1400,0,0.000000,0,0,0,0.000000,0,0
133.979996,8.075784,98.909576,0.000000,103.000000,0.000000,1397,0,0.000000,0,0,0,0.000000,0,0
134.979996,8.075784,98.909576,0.000000,103.000000,0.000000,1388,0,0.000000,0,0,0,0.000000,0,0
135.979996,8.075784,98.909576,0.000000,103.000000,0.000000,1383,0,0.000000,0,0,0,0.000000,0,0
136.979996,8.075784,98.909576,0.000000,103.000000,0.000000,1429,0,0.000000,0,0,0,0.000000,0,0
137.979996,8.075784,98.909576,0.000000,103.000000,0.000000,1426,0,0.000000,0,0,0,0.000000,0,0
138.979996,8.075784,98.909576,0.000000,103.000000,0.000000,1413,0,0.000000,0,0,0,0.000000,0,0
139.979996,8.075784,98.909576,0.000000,103.000000,0.000000,1396,0,0.000000,0,0,0,0.000000,0,0
140.979996,8.075791,98.909569,0.000000,102.000000,0.000000,1382,0,0.000000,0,0,0,0.000000,0,0
141.979996,8.075791,98.909569,0.000000,102.000000,0.000000,1441,0,0.000000,0,0,0,0.000000,0,0
142.979996,8.075791,98.909569,0.000000,102.000000,0.000000,1221,0,0.000000,0,0,0,0.000000,0,0
143.979996,8.075791,98.909569,0.000000,102.000000,0.000000,1411,0,0.000000,0,0,0,0.000000,0,0
144.979996,8.075791,98.909569,0.000000,102.000000,0.000000,1441,0,0.000000,0,0,0,0.000000,0,0
145.979996,8.075791,98.909569,0.000000,102.000000,0.000000,1428,0,0.000000,0,0,0,0.000000,0,0
146.979996,8.075791,98.909569,0.000000,101.000000,0.000000,1400,0,0.000000,0,0,0,0.000000,0,0
147.979996,8.075791,98.909569,0.000000,101.000000,0.000000,1391,0,0.000000,0,0,0,0.000000,0,0
148.979996,8.075791,98.909569,0.000000,101.000000,0.000000,1419,0,0.000000,0,0,0,0.000000,0,0
149.979996,8.075791,98.909569,0.000000,101.000000,0.000000,1372,0,0.000000,0,0,0,0.000000,0,0
150.979996,8.075791,98.909569,0.000000,101.000000,0.000000,1383,0,0.000000,0,0,0,0.000000,0,0
151.979996,8.075791,98.909569,0.000000,101.000000,0.000000,1388,0,0.000000,0,0,0,0.000000,0,0
152.979996,8.075791,98.909569,0.000000,101.000000,0.000000,1394,0,0.000000,0,0,0,0.000000,0,0
153.979996,8.075791,98.909569,0.000000,101.000000,0.000000,1407,0,0.000000,0,0,0,0.000000,0,0
154.979996,8.075791,98.909569,0.000000,101.000000,0.000000,1364,0,0.000000,0,0,0,0.000000,0,0
155.979996,8.075791,98.909569,0.000000,101.000000,0.000000,1392,0,0.000000,0,0,0,0.000000,0,0
156.979996,8.075791,98.909569,0.000000,101.000000,0.000000,1406,0,0.000000,0,0,0,0.000000,0,0
